,name,price,quantity_sold,shop_name,url
42,Áo hoodie nam nữ nỉ ngoại ulzzang unisex cặp đôi hàn quốc dày mịn chống nắng hình in cá tính FACLY'S,119.000,"Đã bán 14,5k",,https://shopee.vn/Áo-hoodie-nam-nữ-nỉ-ngoại-ulzzang-unisex-cặp-đôi-hàn-quốc-dày-mịn-chống-nắng-hình-in-cá-tính-FACLY'S-i.281309308.7354789323?sp_atk=5ea904f7-2983-453d-876a-c515201ba808&xptdk=5ea904f7-2983-453d-876a-c515201ba808
43,Áo Khoác Dù PPDAOJIA LOGO Nam Nữ Ulzzang Unisex Form Rộng Bomber TRƠN Jacket - F.s.shop68,135.000,Đã bán 516,,https://shopee.vn/Áo-Khoác-Dù-PPDAOJIA-LOGO-Nam-Nữ-Ulzzang-Unisex-Form-Rộng-Bomber-TRƠN-Jacket-F.s.shop68-i.63251786.19867244148?sp_atk=850f80bc-7bad-4b4c-a210-db0356f61b4b&xptdk=850f80bc-7bad-4b4c-a210-db0356f61b4b
44,Áo KHOÁC Hoodie TRƠN 4 Màu Nam Nữ Ulzzang Unisex 1hitshop,179.000,Đã bán 87k,,https://shopee.vn/Áo-KHOÁC-Hoodie-TRƠN-4-Màu-Nam-Nữ-Ulzzang-Unisex-1hitshop-i.71861331.3541827333?sp_atk=1798ae9f-1d91-42a6-8c51-d4085e0c27d9&xptdk=1798ae9f-1d91-42a6-8c51-d4085e0c27d9
45,Áo Khoác Blazer Dáng Rộng Thời Trang Xuân Hè 2022 Cho Nữ,355.000,"Đã bán 12,1k",,https://shopee.vn/Áo-Khoác-Blazer-Dáng-Rộng-Thời-Trang-Xuân-Hè-2022-Cho-Nữ-i.345875119.9030714246?sp_atk=d7bf0f1e-da19-4457-8b03-c16e39d45cf0&xptdk=d7bf0f1e-da19-4457-8b03-c16e39d45cf0
46,"Áo khoác Nỉ THỎ xanh from rộng Unisex, Áo khoác nỉ mùa đông Tay bồng chất nỉ dày dặn",100.000,"Đã bán 3,3k",,https://shopee.vn/Áo-khoác-Nỉ-THỎ-xanh-from-rộng-Unisex-Áo-khoác-nỉ-mùa-đông-Tay-bồng-chất-nỉ-dày-dặn-i.42400191.19261602240?sp_atk=b21c42ff-cc0d-4779-b2b7-2f5d83f0cac0&xptdk=b21c42ff-cc0d-4779-b2b7-2f5d83f0cac0
47,(Sẵn) áo khoác nữ sinh Harajuku JK 100% ảnh thật,175.000,Đã bán 939,,https://shopee.vn/(Sẵn)-áo-khoác-nữ-sinh-Harajuku-JK-100-ảnh-thật-i.12046379.11859205630?sp_atk=a498e68c-6177-4c15-b672-b475e082eae8&xptdk=a498e68c-6177-4c15-b672-b475e082eae8
48,Áo hoodie khóa kéo form rộng chùm mông unisex nổi vân ICON ngực Hàn Quốc,159.000,"Đã bán 1,3k",,https://shopee.vn/Áo-hoodie-khóa-kéo-form-rộng-chùm-mông-unisex-nổi-vân-ICON-ngực-Hàn-Quốc-i.339982771.10198071677?sp_atk=1d5a2fae-c61f-4c31-bbe9-b96152be6499&xptdk=1d5a2fae-c61f-4c31-bbe9-b96152be6499
49,"[ MÃ TRI ÂN ]  [Có size từ 20kg__90kg]  áo sweater bé gái, áo nỉ cho bé size đại 6 tuôi 15 tuổi phong cách SWT01",54.000,"Đã bán 1,2k",,https://shopee.vn/-MÃ-TRI-ÂN-Có-size-từ-20kg__90kg-áo-sweater-bé-gái-áo-nỉ-cho-bé-size-đại-6-tuôi-15-tuổi-phong-cách-SWT01-i.154928813.21645815419?sp_atk=d5050611-d38d-48f4-adda-a38650d1c309&xptdk=d5050611-d38d-48f4-adda-a38650d1c309
50,Áo Khoác Gió TWENTI TAG Phối màu nam nữ,135.000,"Đã bán 2,7k",,https://shopee.vn/Áo-Khoác-Gió-TWENTI-TAG-Phối-màu-nam-nữ-i.188686310.19862260063?sp_atk=ecef8aeb-76e1-4993-8ed2-ac8e2cd3a709&xptdk=ecef8aeb-76e1-4993-8ed2-ac8e2cd3a709
51,ÁO BOMBER MBC XÁM CÓ TÚI TRONG,220.000,"Đã bán 1,3k",,https://shopee.vn/ÁO-BOMBER-MBC-XÁM-CÓ-TÚI-TRONG-i.20172514.14082567888?sp_atk=fcca2941-5f57-44df-a9ba-fee9461cfda9&xptdk=fcca2941-5f57-44df-a9ba-fee9461cfda9
